"","year","season","sfc_temp","sfc_salt","btm_temp","btm_salt","ctyp_100m3","calfin_100m3","pseudo_100m3","tlong_100m3","PC1","PC2"
"32",2010,"Spring",-8.90711339905439,-32.6839848473924,-7.51541409947304,-33.464792028994,-3.98760258905665,-3.1579116195419,-4.58381733897548,-3.2697999141539,-0.0636265642856627,-4.4733133009028
"33",2011,"Spring",-5.88452177391396,-33.9548165195433,-7.61975994763415,-34.2400231448266,-3.62498776894822,-3.73109299869307,-3.71705632205903,-1.70813144557171,0.0471025585649175,-1.66421686802977
"34",2012,"Spring",-1.17408366002684,-32.8070755907285,-2.90482527916218,-33.1813614567692,-2.80985092629492,-3.74555120875472,-6.02248485982932,-3.04169416138603,4.63393941937664,5.05395285660977
"35",2013,"Spring",-5.10119349821534,-32.3559383690078,-6.03606875809183,-33.2806773994325,-3.23990676189496,-3.64968059785449,-4.47985663944496,-1.73554360252578,2.27663515686641,2.02684093495591
"36",2014,"Spring",-7.79722205461495,-32.74391674911,-7.1461340281575,-33.3703487659383,-2.72769139510076,-4.05890503082359,-4.55600384715226,-1.93319701106971,2.67835010262008,1.45992671865246
"37",2015,"Spring",-10.8385478723383,-31.8889157831454,-8.78302535230486,-32.8029045660944,-3.81540599821579,-4.63884834616272,-4.33056682395227,-2.08905042287738,-1.09253008009388,-0.506314492200493
"38",2016,"Spring",-12.9671116525036,-31.7582182198655,-6.88740679643844,-32.8289259419069,-3.01773703301668,-4.45805798535796,-4.70978891629052,-3.1082488372054,1.02834449391941,0.353277515732306
"39",2017,"Spring",-11.314398995909,-31.9609653787807,-7.72358708902895,-33.1426235986346,-2.79439977323879,-4.00245535472737,-4.45312968397436,-2.77798058022046,-0.691408186669793,2.05383763500792
"40",2018,"Spring",-11.2371715813077,-32.4074992956543,-7.89713456222467,-33.2131732205069,-3.28726526377539,-3.3645171608509,-4.34305787065963,-3.54111689955467,0.765344007415421,-0.508603002933775
"41",2019,"Spring",-9.56218117732821,-32.7666532009208,-6.91884629766408,-33.2779846842358,-3.61869467838925,-3.56981473718366,-4.65965424686566,-3.14742107220998,0.0296559688881303,0.414777855205223
