"","year","season","sfc_temp","sfc_salt","btm_temp","btm_salt","ctyp_100m3","calfin_100m3","pseudo_100m3","tlong_100m3","PC1","PC2"
"20",1996,"Winter",-6.15811508788747,-32.6178114575977,-6.02767373573117,-32.9372493405634,-3.9833196407556,-2.38282257669485,-3.59610043582803,-2.24514416046492,-0.0552698413476763,1.06302460887096
"21",1997,"Winter",-5.52398864099284,-33.5482436142676,-5.24306459187407,-33.7193223069319,-3.80542551652014,-3.69135316878301,-3.04272203052473,-1.40554043080562,0.958906630422998,4.15730999793902
"22",1998,"Winter",-5.2339930544799,-33.3308470814121,-6.91456867687267,-34.192853064142,-4.80942891881243,-1.75903506325565,-2.63415577050248,-1.71167837224142,2.47448907013414,2.48633281941886
"23",1999,"Winter",-4.21339749240756,-33.3327766874312,-3.95833804909702,-33.4342589871261,-3.72557209245324,-2.59948295864944,-2.96166301935189,-2.50885925918662,2.63343775722794,1.72359769318592
"24",2000,"Winter",-4.01842942533146,-31.7314001699972,-4.59725761434601,-32.2521041966769,-3.85212569673645,-3.60597719907156,-4.3712267615819,-3.30100014816099,4.09823159658102,-0.838158858217347
"25",2001,"Winter",-5.7338271910279,-32.7538610756118,-5.96615371925006,-33.1425200898788,-3.72920731719502,-3.50714350626928,-3.57550111774935,-1.55112354996152,0.658878335587685,1.56589354344187
"26",2002,"Winter",-3.54075384109754,-32.1829621564075,-4.10167093399101,-32.8038150648166,-3.94615634964804,-3.36590139149262,-4.31975067039951,-3.46670063226457,3.53138641048809,-1.8463607830792
"27",2003,"Winter",-4.62541584377082,-31.5139520680254,-5.87751388268414,-32.3107064716886,-4.27786800577579,-2.68230554219751,-5.41275179266025,-3.12114602790424,2.50636715774889,-3.37641764204421
"28",2004,"Winter",-7.13747917730088,-32.3028088593584,-7.94858457476649,-33.0008820628745,-4.05142157223464,-1.76949256913669,-4.02807755931382,-2.50817630261457,1.09589537199744,0.217500047708435
"29",2005,"Winter",-6.34764005910444,-33.2935552721128,-6.90179920752417,-33.8184506730819,-4.52491405792394,-2.04827948773251,-3.02694521195658,-1.99531784803845,0.16787828740262,0.828809824896026
"30",2006,"Winter",-4.47866640560761,-33.0725502532563,-4.38534212167721,-33.3180360891375,-4.41395814454436,-1.73747912613553,-4.25932654502496,-3.01992421624122,2.00204818609939,-1.30407524339299
"31",2007,"Winter",-4.60502018250057,-32.036186602266,-5.56536877173258,-32.7847962623715,-4.43193899526832,-3.74234626667141,-6.0916810491325,-3.57501774280268,3.72440493869294,-2.94426591732523
